date,produit,categorie,region,client,quantité,prix_unitaire,prix_total
2023-06-13,,Vêtements,Ouest,Charlie,6,70.24,421.43999999999994
2023-01-29,TV,NULL,Sud,Emma,,182.33,1823.3000000000002
2023-01-07,Ballon,Électronique,Ouest,Bob,1,395.27,395.27
2023-03-12,Chaise,Vêtements,Sud,David,2,296.48,592.96
2023-03-04,Chaise,Alimentation,Nord,Alice,11,12.81,140.91
2023-02-27,TV,Maison,Est,Emma,2,136.36,272.72
2023-02-05,Ballon,Maison,Ouest,Bob,10,67.75,677.5
2023-01-27,Pain,Électronique,Est,Bob,12,213.38,2560.56
2023-06-23,Montre,Maison,Sud,Charlie,12,61.26,735.12
2023-05-20,Montre,Maison,Ouest,Bob,14,36.46,510.44
2023-01-23,PC,Sports,Est,Alice,5,226.9,1134.5
2023-06-01,Chaise,Alimentation,Est,Alice,8,184.21,1473.68
2023-04-19,Chaise,Sports,Ouest,Bob,17,298.86,5080.62
2023-01-09,PC,Maison,Est,Charlie,14,228.74,3202.36
2023-01-08,Pain,Électronique,Ouest,Emma,19,114.67,2178.73
2023-01-24,Téléphone,Électronique,Est,Emma,6,309.48,1856.88
2023-02-25,Chaise,Maison,Nord,Charlie,6,364.99,2189.94
2023-03-01,Chaise,Vêtements,Ouest,David,6,454.83,2728.98
2023-05-10,Téléphone,Sports,Nord,Alice,3,331.16,993.48
2023-06-04,PC,Maison,Nord,David,20,154.31,3086.2
2023-01-07,Téléphone,Électronique,Est,Charlie,13,323.45,4204.849999999999
2023-05-24,Chaise,Électronique,Sud,David,20,20.42,408.40000000000003
2023-02-20,PC,Sports,Nord,Charlie,8,499.3,3994.4
2023-06-16,Téléphone,Alimentation,Nord,Emma,16,424.41,6790.56
2023-06-29,Pain,Maison,Nord,Emma,19,216.01,4104.19
2023-05-20,PC,Maison,Sud,David,5,58.44,292.2
2023-04-18,Chaise,Alimentation,Sud,David,8,357.64,2861.12
2023-02-26,TV,Sports,Nord,Alice,15,224.56,3368.4
2023-04-25,Montre,Sports,Sud,Emma,9,450.14,4051.2599999999998
2023-05-31,Chaise,Électronique,Sud,Alice,15,164.45,2466.75
